,k,score,selected_features,time,total_time
1,1,0.5,[3],0.030149221420288086,0.030149221420288086
2,2,0.5,"[32, 3]",0.021876096725463867,0.05202531814575195
3,3,0.5,"[32, 3, 47]",0.02398538589477539,0.07601070404052734
4,4,0.5,"[32, 3, 37, 47]",0.02612137794494629,0.10213208198547363
5,5,0.5,"[32, 3, 37, 47, 51]",0.030712366104125977,0.1328444480895996
6,6,0.5,"[32, 3, 37, 44, 47, 51]",0.03246903419494629,0.1653134822845459
7,7,0.5,"[32, 65, 3, 37, 44, 47, 51]",0.034621238708496094,0.199934720993042
8,8,0.5,"[32, 65, 3, 37, 40, 44, 47, 51]",0.040914297103881836,0.24084901809692383
9,9,0.5,"[32, 65, 3, 37, 40, 44, 76, 47, 51]",0.03790163993835449,0.2787506580352783
10,10,0.5,"[32, 65, 3, 68, 37, 40, 44, 76, 47, 51]",0.03862810134887695,0.3173787593841553
11,11,0.5,"[32, 65, 3, 68, 37, 40, 44, 76, 47, 51, 55]",0.03976607322692871,0.357144832611084
12,12,0.499542961609,"[32, 65, 3, 68, 37, 40, 44, 76, 47, 51, 55, 62]",0.040537357330322266,0.39768218994140625
13,13,0.499542961609,"[32, 65, 3, 68, 37, 40, 44, 76, 47, 51, 83, 55, 62]",0.040191650390625,0.43787384033203125
14,14,0.499085923218,"[32, 65, 3, 68, 37, 70, 40, 44, 76, 47, 51, 83, 55, 62]",0.04228472709655762,0.48015856742858887
15,15,0.499085923218,"[32, 65, 3, 68, 37, 70, 40, 44, 76, 47, 49, 51, 83, 55, 62]",0.04299592971801758,0.5231544971466064
16,16,0.498628884826,"[32, 65, 1, 3, 68, 37, 70, 40, 44, 76, 47, 49, 51, 83, 55, 62]",0.04419660568237305,0.5673511028289795
17,17,0.498628884826,"[32, 65, 1, 3, 68, 37, 70, 7, 40, 44, 76, 47, 49, 51, 83, 55, 62]",0.047951698303222656,0.6153028011322021
18,18,0.498171846435,"[32, 65, 1, 3, 68, 37, 70, 7, 40, 72, 44, 76, 47, 49, 51, 83, 55, 62]",0.049726009368896484,0.6650288105010986
19,19,0.498628884826,"[32, 65, 1, 3, 68, 37, 70, 7, 40, 72, 73, 44, 76, 47, 49, 51, 83, 55, 62]",0.05068612098693848,0.7157149314880371
20,20,0.497714808044,"[32, 65, 1, 3, 68, 37, 70, 7, 40, 72, 73, 5, 44, 76, 47, 49, 51, 83, 55, 62]",0.05130457878112793,0.767019510269165
21,21,0.49927260087,"[1, 3, 5, 7, 13, 32, 37, 40, 44, 47, 49, 51, 55, 62, 65, 68, 70, 72, 73, 76, 83]",0.054540395736694336,0.8215599060058594
22,22,0.498358524088,"[1, 3, 5, 7, 13, 32, 37, 40, 44, 47, 49, 51, 55, 59, 62, 65, 68, 70, 72, 73, 76, 83]",0.05882382392883301,0.8803837299346924
23,23,0.500186677653,"[1, 3, 5, 7, 13, 32, 37, 40, 44, 47, 49, 51, 52, 55, 59, 62, 65, 68, 70, 72, 73, 76, 83]",0.06086468696594238,0.9412484169006348
24,24,0.49927260087,"[1, 3, 5, 7, 13, 32, 37, 40, 44, 47, 49, 51, 52, 55, 59, 62, 65, 68, 70, 71, 72, 73, 76, 83]",0.06269502639770508,1.0039434432983398
25,25,0.499729639262,"[1, 3, 5, 7, 13, 32, 37, 40, 44, 47, 49, 51, 52, 55, 59, 62, 65, 68, 70, 71, 72, 73, 76, 78, 83]",0.06389904022216797,1.0678424835205078
26,26,0.501100754435,"[1, 3, 5, 7, 13, 32, 37, 40, 44, 47, 49, 51, 52, 54, 55, 59, 62, 65, 68, 70, 71, 72, 73, 76, 78, 83]",0.0671842098236084,1.1350266933441162
27,27,0.500186677653,"[1, 3, 5, 7, 13, 32, 37, 40, 44, 47, 49, 51, 52, 54, 55, 59, 61, 62, 65, 68, 70, 71, 72, 73, 76, 78, 83]",0.07045936584472656,1.2054860591888428
28,28,0.499729639262,"[1, 3, 5, 7, 13, 32, 37, 40, 44, 47, 49, 50, 51, 52, 54, 55, 59, 61, 62, 65, 68, 70, 71, 72, 73, 76, 78, 83]",0.07405662536621094,1.2795426845550537
29,29,0.499729639262,"[1, 3, 5, 7, 13, 32, 37, 40, 44, 45, 47, 49, 50, 51, 52, 54, 55, 59, 61, 62, 65, 68, 70, 71, 72, 73, 76, 78, 83]",0.07459235191345215,1.3541350364685059
30,30,0.49927260087,"[1, 3, 5, 7, 13, 32, 37, 40, 44, 45, 47, 49, 50, 51, 52, 54, 55, 59, 61, 62, 65, 66, 68, 70, 71, 72, 73, 76, 78, 83]",0.07564735412597656,1.4297823905944824
31,31,0.504486700827,"[1, 3, 5, 7, 13, 19, 32, 37, 40, 44, 45, 47, 49, 50, 51, 52, 54, 55, 59, 61, 62, 65, 66, 68, 70, 71, 72, 73, 76, 78, 83]",0.07712912559509277,1.5069115161895752
32,32,0.504486700827,"[1, 3, 5, 7, 13, 19, 32, 37, 40, 44, 45, 47, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 70, 71, 72, 73, 76, 78, 83]",0.07536435127258301,1.5822758674621582
33,33,0.505857816,"[1, 3, 5, 7, 13, 19, 32, 37, 40, 44, 45, 47, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 70, 71, 72, 73, 76, 78, 80, 83]",0.07655858993530273,1.658834457397461
34,34,0.503115585653,"[1, 3, 5, 7, 13, 19, 26, 32, 37, 40, 44, 45, 47, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 70, 71, 72, 73, 76, 78, 80, 83]",0.0776669979095459,1.7365014553070068
35,35,0.503572624044,"[1, 3, 5, 7, 13, 19, 26, 32, 37, 40, 44, 45, 47, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 70, 71, 72, 73, 76, 78, 80, 82, 83]",0.08179163932800293,1.8182930946350098
36,36,0.507415608827,"[1, 3, 5, 7, 13, 19, 26, 32, 37, 40, 44, 45, 47, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 78, 80, 82, 83]",0.08645963668823242,1.9047527313232422
37,37,0.509243762392,"[1, 3, 5, 7, 13, 19, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 78, 80, 82, 83]",0.09271359443664551,1.9974663257598877
38,38,0.500830393697,"[1, 3, 5, 7, 10, 13, 19, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 78, 80, 82, 83]",0.09377741813659668,2.0912437438964844
39,39,0.508329685609,"[1, 3, 5, 7, 10, 13, 19, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 77, 78, 80, 82, 83]",0.09813451766967773,2.189378261566162
40,40,0.500373355306,"[1, 3, 5, 7, 10, 13, 19, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.10029888153076172,2.289677143096924
41,41,0.503115585653,"[1, 3, 5, 7, 10, 13, 19, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.10846376419067383,2.3981409072875977
42,42,0.502658547262,"[1, 3, 5, 7, 10, 13, 16, 19, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.11445808410644531,2.512598991394043
43,43,0.507872647218,"[1, 3, 5, 7, 10, 13, 16, 19, 25, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.12263607978820801,2.635235071182251
44,44,0.503572624044,"[1, 3, 5, 7, 8, 10, 13, 16, 19, 25, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.12861895561218262,2.7638540267944336
45,45,0.500830393697,"[1, 3, 5, 7, 8, 10, 13, 16, 19, 25, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.13585591316223145,2.899709939956665
46,46,0.506958570435,"[1, 3, 5, 7, 8, 10, 13, 16, 19, 22, 25, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.1415863037109375,3.0412962436676025
47,47,0.504216340088,"[1, 2, 3, 5, 7, 8, 10, 13, 16, 19, 22, 25, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.1476902961730957,3.1889865398406982
48,48,0.502658547262,"[1, 2, 3, 5, 7, 8, 10, 13, 16, 19, 22, 25, 26, 32, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.14841437339782715,3.3374009132385254
49,49,0.497631124958,"[1, 2, 3, 5, 7, 8, 10, 13, 14, 16, 19, 22, 25, 26, 32, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.15605616569519043,3.493457078933716
50,50,0.494702216958,"[1, 2, 3, 5, 6, 7, 8, 10, 13, 14, 16, 19, 22, 25, 26, 32, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.16008782386779785,3.6535449028015137
51,51,0.491502948219,"[1, 2, 3, 5, 6, 7, 8, 10, 13, 14, 16, 19, 20, 22, 25, 26, 32, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.17153644561767578,3.8250813484191895
52,52,0.494702216958,"[1, 2, 3, 5, 6, 7, 8, 10, 12, 13, 14, 16, 19, 20, 22, 25, 26, 32, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.16034555435180664,3.985426902770996
53,53,0.495616293741,"[1, 2, 3, 5, 6, 7, 8, 10, 12, 13, 14, 16, 19, 20, 22, 23, 25, 26, 32, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.16131591796875,4.146742820739746
54,54,0.494702216958,"[1, 2, 3, 5, 6, 7, 8, 10, 12, 13, 14, 16, 19, 20, 21, 22, 23, 25, 26, 32, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.17303919792175293,4.319782018661499
55,55,0.496530370523,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 16, 19, 20, 21, 22, 23, 25, 26, 32, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.17601275444030762,4.495794773101807
56,56,0.500830393697,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 16, 19, 20, 21, 22, 23, 25, 26, 32, 35, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.20928502082824707,4.705079793930054
57,57,0.506958570435,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 19, 20, 21, 22, 23, 25, 26, 32, 35, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.21985101699829102,4.924930810928345
58,58,0.508329685609,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 19, 20, 21, 22, 23, 25, 26, 32, 34, 35, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.21210145950317383,5.1370322704315186
59,59,0.509243762392,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 19, 20, 21, 22, 23, 25, 26, 27, 32, 34, 35, 37, 38, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.22212910652160645,5.359161376953125
60,60,0.508329685609,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 19, 20, 21, 22, 23, 25, 26, 27, 32, 34, 35, 37, 38, 39, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.2217724323272705,5.5809338092803955
61,61,0.51537193913,"[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 19, 20, 21, 22, 23, 25, 26, 27, 28, 32, 34, 35, 37, 38, 39, 40, 44, 45, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 75, 76, 77, 78, 80, 82, 83]",0.22670221328735352,5.807636022567749
