,k,score,selected_features,time,total_time
1,1,0.5,[3],0.1969900131225586,0.1969900131225586
2,2,0.5,"[32, 3]",0.14638590812683105,0.34337592124938965
3,3,0.5,"[32, 3, 47]",0.11382627487182617,0.4572021961212158
4,4,0.5,"[32, 3, 62, 47]",0.14243412017822266,0.5996363162994385
5,5,0.5,"[32, 3, 44, 47, 62]",0.16503500938415527,0.7646713256835938
6,6,0.5,"[32, 3, 40, 44, 47, 62]",0.18825745582580566,0.9529287815093994
7,7,0.5,"[32, 65, 3, 40, 44, 47, 62]",0.23129653930664062,1.18422532081604
8,8,0.5,"[32, 65, 3, 40, 44, 47, 51, 62]",0.2373521327972412,1.4215774536132812
9,9,0.5,"[32, 65, 3, 40, 44, 47, 51, 83, 62]",0.24187636375427246,1.6634538173675537
10,10,0.5,"[32, 65, 3, 40, 44, 76, 47, 51, 83, 62]",0.2583496570587158,1.9218034744262695
11,11,0.5,"[32, 65, 3, 40, 44, 76, 47, 51, 83, 26, 62]",0.28343939781188965,2.205242872238159
12,12,0.5,"[32, 65, 3, 68, 40, 44, 76, 47, 51, 83, 26, 62]",0.21448969841003418,2.4197325706481934
13,13,0.5,"[32, 65, 3, 68, 40, 44, 76, 47, 51, 83, 55, 26, 62]",0.23702621459960938,2.6567587852478027
14,14,0.5,"[32, 65, 3, 68, 70, 40, 44, 76, 47, 51, 83, 55, 26, 62]",0.2391517162322998,2.8959105014801025
15,15,0.5,"[32, 65, 1, 3, 68, 70, 40, 44, 76, 47, 51, 83, 55, 26, 62]",0.25673723220825195,3.1526477336883545
16,16,0.5,"[32, 65, 1, 3, 68, 37, 70, 40, 44, 76, 47, 51, 83, 55, 26, 62]",0.3644099235534668,3.5170576572418213
17,17,0.5,"[32, 65, 1, 3, 68, 37, 70, 40, 44, 76, 13, 47, 51, 83, 55, 26, 62]",0.38602423667907715,3.9030818939208984
18,18,0.5,"[32, 65, 1, 3, 68, 37, 70, 40, 44, 76, 13, 47, 49, 51, 83, 55, 26, 62]",0.4079921245574951,4.3110740184783936
19,19,0.5,"[32, 65, 1, 3, 68, 37, 70, 40, 44, 76, 13, 47, 48, 49, 51, 83, 55, 26, 62]",0.42995476722717285,4.741028785705566
20,20,0.5,"[32, 65, 1, 3, 68, 37, 70, 7, 40, 44, 76, 13, 47, 48, 49, 51, 83, 55, 26, 62]",0.46531081199645996,5.206339597702026
21,21,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 49, 51, 55, 62, 65, 68, 70, 72, 76, 83]",0.5133504867553711,5.7196900844573975
22,22,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 49, 51, 55, 62, 65, 68, 70, 72, 73, 76, 83]",0.5297417640686035,6.249431848526001
23,23,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 49, 51, 55, 62, 65, 68, 70, 71, 72, 73, 76, 83]",0.5457193851470947,6.795151233673096
24,24,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 49, 51, 55, 59, 62, 65, 68, 70, 71, 72, 73, 76, 83]",0.5616390705108643,7.35679030418396
25,25,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 49, 51, 52, 55, 59, 62, 65, 68, 70, 71, 72, 73, 76, 83]",0.5753099918365479,7.932100296020508
26,26,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 49, 50, 51, 52, 55, 59, 62, 65, 68, 70, 71, 72, 73, 76, 83]",0.5996499061584473,8.531750202178955
27,27,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 49, 50, 51, 52, 55, 59, 62, 65, 68, 69, 70, 71, 72, 73, 76, 83]",0.6203653812408447,9.1521155834198
28,28,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 49, 50, 51, 52, 55, 59, 62, 65, 68, 69, 70, 71, 72, 73, 76, 78, 83]",0.638690710067749,9.790806293487549
29,29,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 49, 50, 51, 52, 54, 55, 59, 62, 65, 68, 69, 70, 71, 72, 73, 76, 78, 83]",0.662299394607544,10.453105688095093
30,30,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 49, 50, 51, 52, 54, 55, 59, 61, 62, 65, 68, 69, 70, 71, 72, 73, 76, 78, 83]",0.7179841995239258,11.171089887619019
31,31,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 59, 61, 62, 65, 68, 69, 70, 71, 72, 73, 76, 78, 83]",0.7437796592712402,11.914869546890259
32,32,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 78, 83]",0.8196814060211182,12.734550952911377
33,33,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 78, 83]",1.221961498260498,13.956512451171875
34,34,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 78, 80, 83]",1.378598928451538,15.335111379623413
35,35,0.5,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 78, 80, 82, 83]",1.4053385257720947,16.740449905395508
36,36,0.5,"[1, 3, 7, 10, 13, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 78, 80, 82, 83]",1.2830524444580078,18.023502349853516
37,37,0.5,"[1, 3, 7, 10, 13, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 77, 78, 80, 82, 83]",1.4946606159210205,19.518162965774536
38,38,0.499542961609,"[1, 3, 7, 10, 13, 14, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 77, 78, 80, 82, 83]",1.5304920673370361,21.048655033111572
39,39,0.505214099956,"[1, 3, 5, 7, 10, 13, 14, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 77, 78, 80, 82, 83]",1.7782623767852783,22.82691740989685
40,40,0.505671138347,"[1, 3, 5, 7, 10, 13, 14, 19, 26, 32, 37, 40, 44, 45, 47, 48, 49, 50, 51, 52, 54, 55, 57, 59, 61, 62, 65, 66, 68, 69, 70, 71, 72, 73, 76, 77, 78, 80, 82, 83]",1.7422685623168945,24.569185972213745
