,k,score,selected_features,time,total_time
1,1,0.5,[3],0.024271726608276367,0.024271726608276367
2,2,0.5,"[32, 3]",0.02982044219970703,0.0540921688079834
3,3,0.5,"[32, 3, 47]",0.03096628189086914,0.08505845069885254
4,4,0.5,"[32, 3, 62, 47]",0.030709266662597656,0.1157677173614502
5,5,0.5,"[32, 3, 44, 47, 62]",0.030810832977294922,0.14657855033874512
6,6,0.5,"[32, 3, 37, 44, 47, 62]",0.030591964721679688,0.1771705150604248
7,7,0.5,"[32, 3, 37, 40, 44, 47, 62]",0.03282904624938965,0.20999956130981445
8,8,0.5,"[32, 65, 3, 37, 40, 44, 47, 62]",0.028978586196899414,0.23897814750671387
9,9,0.5,"[32, 65, 3, 37, 40, 44, 47, 51, 62]",0.029855966567993164,0.26883411407470703
10,10,0.5,"[32, 65, 3, 37, 40, 44, 47, 51, 83, 62]",0.029822349548339844,0.2986564636230469
11,11,0.5,"[32, 65, 3, 37, 40, 44, 76, 47, 51, 83, 62]",0.03058767318725586,0.32924413681030273
12,12,0.503926667868,"[32, 65, 3, 37, 70, 40, 44, 76, 47, 51, 83, 62]",0.03234672546386719,0.3615908622741699
13,13,0.507582974998,"[32, 65, 1, 3, 37, 70, 40, 44, 76, 47, 51, 83, 62]",0.02857804298400879,0.3901689052581787
14,14,0.507582974998,"[32, 65, 1, 3, 37, 70, 40, 44, 76, 47, 51, 83, 26, 62]",0.02794957160949707,0.4181184768676758
15,15,0.507582974998,"[32, 65, 1, 3, 68, 37, 70, 40, 44, 76, 47, 51, 83, 26, 62]",0.028897523880004883,0.44701600074768066
16,16,0.507582974998,"[32, 65, 1, 3, 68, 37, 70, 40, 44, 76, 13, 47, 51, 83, 26, 62]",0.03383827209472656,0.4808542728424072
17,17,0.507582974998,"[32, 65, 1, 3, 68, 37, 70, 40, 44, 76, 13, 47, 48, 51, 83, 26, 62]",0.036173105239868164,0.5170273780822754
18,18,0.519008934779,"[32, 65, 1, 3, 68, 37, 70, 40, 72, 44, 76, 13, 47, 48, 51, 83, 26, 62]",0.03252100944519043,0.5495483875274658
19,19,0.519008934779,"[32, 65, 1, 3, 68, 37, 70, 7, 40, 72, 44, 76, 13, 47, 48, 51, 83, 26, 62]",0.03352093696594238,0.5830693244934082
20,20,0.519008934779,"[32, 65, 1, 3, 68, 37, 70, 7, 40, 72, 71, 44, 76, 13, 47, 48, 51, 83, 26, 62]",0.035608530044555664,0.6186778545379639
21,21,0.519008934779,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 51, 59, 62, 65, 68, 70, 71, 72, 76, 83]",0.043941497802734375,0.6626193523406982
22,22,0.518551896387,"[1, 3, 7, 13, 26, 32, 37, 40, 44, 47, 48, 51, 55, 59, 62, 65, 68, 70, 71, 72, 76, 83]",0.04363250732421875,0.706251859664917
23,23,0.51946597317,"[1, 3, 5, 7, 13, 26, 32, 37, 40, 44, 47, 48, 51, 55, 59, 62, 65, 68, 70, 71, 72, 76, 83]",0.04497814178466797,0.751230001449585
24,24,0.51288075804,"[1, 3, 5, 7, 13, 26, 32, 37, 40, 44, 47, 48, 50, 51, 55, 59, 62, 65, 68, 70, 71, 72, 76, 83]",0.04465937614440918,0.7958893775939941
25,25,0.513337796431,"[1, 3, 5, 7, 13, 26, 32, 37, 40, 44, 47, 48, 50, 51, 55, 59, 62, 65, 68, 70, 71, 72, 76, 78, 83]",0.04519987106323242,0.8410892486572266
26,26,0.513337796431,"[1, 3, 5, 7, 13, 26, 32, 37, 40, 44, 47, 48, 50, 51, 55, 59, 62, 65, 68, 69, 70, 71, 72, 76, 78, 83]",0.04988908767700195,0.8909783363342285
27,27,0.513337796431,"[1, 3, 5, 7, 13, 26, 32, 37, 40, 44, 47, 48, 50, 51, 54, 55, 59, 62, 65, 68, 69, 70, 71, 72, 76, 78, 83]",0.043538570404052734,0.9345169067382812
28,28,0.513337796431,"[1, 3, 5, 7, 13, 26, 32, 37, 40, 44, 47, 48, 50, 51, 54, 55, 59, 61, 62, 65, 68, 69, 70, 71, 72, 76, 78, 83]",0.04166078567504883,0.9761776924133301
