,k,score,selected_features,time,total_time
1,1,0.50658521513,[60],0.3048555850982666,0.3048555850982666
2,2,0.50658521513,"[81, 60]",0.31406569480895996,0.6189212799072266
3,3,0.50658521513,"[81, 60, 84]",0.2932767868041992,0.9121980667114258
4,4,0.50658521513,"[48, 81, 60, 84]",0.27478742599487305,1.1869854927062988
5,5,0.50658521513,"[4, 48, 81, 84, 60]",0.28702378273010254,1.4740092754364014
6,6,0.520212683781,"[4, 41, 48, 81, 84, 60]",0.2642977237701416,1.738306999206543
7,7,0.520212683781,"[4, 41, 48, 81, 84, 56, 60]",0.29740262031555176,2.0357096195220947
8,8,0.520212683781,"[4, 41, 48, 81, 84, 56, 59, 60]",0.2814347743988037,2.3171443939208984
9,9,0.520212683781,"[4, 41, 48, 81, 80, 84, 56, 59, 60]",0.2629203796386719,2.5800647735595703
10,10,0.51975564539,"[4, 41, 48, 81, 80, 82, 84, 56, 59, 60]",0.2660667896270752,2.8461315631866455
11,11,0.525883822128,"[4, 41, 15, 48, 81, 80, 82, 84, 56, 59, 60]",0.2770709991455078,3.1232025623321533
12,12,0.529726806911,"[4, 41, 46, 15, 48, 81, 80, 82, 84, 56, 59, 60]",0.2779097557067871,3.4011123180389404
13,13,0.543354275562,"[4, 41, 46, 15, 48, 81, 80, 82, 84, 56, 57, 59, 60]",0.3607912063598633,3.7619035243988037
14,14,0.534026830085,"[67, 4, 41, 46, 15, 48, 81, 80, 82, 84, 56, 57, 59, 60]",0.26395130157470703,4.025854825973511
15,15,0.54536910678,"[67, 4, 41, 46, 15, 48, 81, 80, 82, 84, 79, 56, 57, 59, 60]",0.2740592956542969,4.299914121627808
16,16,0.563753636996,"[64, 67, 4, 41, 46, 15, 48, 81, 80, 82, 84, 79, 56, 57, 59, 60]",0.2773921489715576,4.577306270599365
17,17,0.587809305559,"[64, 67, 4, 41, 46, 15, 48, 81, 80, 82, 84, 79, 56, 57, 58, 59, 60]",0.2756538391113281,4.852960109710693
18,18,0.589367098386,"[64, 67, 4, 41, 46, 15, 48, 81, 80, 82, 84, 79, 56, 57, 58, 59, 60, 24]",0.32185935974121094,5.174819469451904
19,19,0.580953729691,"[64, 67, 4, 41, 46, 15, 48, 81, 80, 82, 84, 79, 56, 57, 58, 59, 60, 24, 63]",0.272674560546875,5.447494029998779
20,20,0.587081906429,"[64, 67, 4, 41, 43, 46, 15, 48, 81, 80, 82, 84, 79, 56, 57, 58, 59, 60, 24, 63]",0.3440978527069092,5.7915918827056885
21,21,0.595038236733,"[4, 15, 24, 41, 43, 46, 48, 56, 57, 58, 59, 60, 63, 64, 67, 78, 79, 80, 81, 82, 84]",0.47240757942199707,6.2639994621276855
22,22,0.579125576126,"[4, 15, 24, 41, 43, 46, 48, 56, 57, 58, 59, 60, 63, 64, 67, 75, 78, 79, 80, 81, 82, 84]",0.4616515636444092,6.725651025772095
23,23,0.576383345779,"[4, 15, 24, 31, 41, 43, 46, 48, 56, 57, 58, 59, 60, 63, 64, 67, 75, 78, 79, 80, 81, 82, 84]",0.45020079612731934,7.175851821899414
24,24,0.552514354868,"[4, 15, 24, 31, 41, 42, 43, 46, 48, 56, 57, 58, 59, 60, 63, 64, 67, 75, 78, 79, 80, 81, 82, 84]",0.49445509910583496,7.670306921005249
25,25,0.572727038649,"[4, 15, 20, 24, 31, 41, 42, 43, 46, 48, 56, 57, 58, 59, 60, 63, 64, 67, 75, 78, 79, 80, 81, 82, 84]",0.48639750480651855,8.156704425811768
26,26,0.568613693128,"[4, 15, 20, 24, 31, 41, 42, 43, 46, 48, 53, 56, 57, 58, 59, 60, 63, 64, 67, 75, 78, 79, 80, 81, 82, 84]",0.5005371570587158,8.657241582870483
