,k,score,selected_features,time,total_time
1,1,0.5,[46],0.5619511604309082,0.5619511604309082
2,2,0.575031542086,"[4, 46]",0.45461153984069824,1.0165627002716064
3,3,0.575031542086,"[78, 4, 46]",0.35633277893066406,1.3728954792022705
4,4,0.563212915519,"[78, 4, 46, 60]",0.42488670349121094,1.7977821826934814
5,5,0.563212915519,"[4, 78, 46, 81, 60]",0.4636571407318115,2.261439323425293
6,6,0.563212915519,"[4, 78, 46, 81, 59, 60]",0.37840938568115234,2.6398487091064453
7,7,0.563212915519,"[4, 78, 46, 80, 81, 59, 60]",0.3770914077758789,3.016940116882324
8,8,0.556170661998,"[4, 78, 46, 80, 81, 82, 59, 60]",0.364544153213501,3.381484270095825
9,9,0.526797898911,"[4, 78, 46, 80, 81, 82, 15, 59, 60]",0.3552422523498535,3.7367265224456787
10,10,0.529726806911,"[4, 42, 78, 46, 80, 81, 82, 15, 59, 60]",0.3399829864501953,4.076709508895874
11,11,0.530183845302,"[4, 42, 78, 46, 80, 81, 82, 15, 57, 59, 60]",0.3457071781158447,4.422416687011719
12,12,0.524512706955,"[4, 42, 78, 46, 80, 81, 82, 15, 57, 59, 60, 31]",0.3739454746246338,4.7963621616363525
13,13,0.525426783737,"[4, 42, 78, 46, 80, 81, 82, 15, 20, 57, 59, 60, 31]",0.39992260932922363,5.196284770965576
14,14,0.518384530216,"[4, 42, 78, 46, 80, 81, 82, 15, 20, 17, 57, 59, 60, 31]",0.3972451686859131,5.593529939651489
15,15,0.517013415042,"[4, 41, 42, 78, 46, 80, 81, 82, 15, 20, 17, 57, 59, 60, 31]",0.46265530586242676,6.056185245513916
16,16,0.517013415042,"[67, 4, 41, 42, 78, 46, 80, 81, 82, 15, 20, 17, 57, 59, 60, 31]",0.5507767200469971,6.606961965560913
17,17,0.51609933826,"[67, 4, 41, 42, 78, 46, 80, 81, 82, 15, 20, 17, 84, 57, 59, 60, 31]",0.5120406150817871,7.1190025806427
18,18,0.510885238304,"[67, 4, 41, 42, 78, 46, 80, 81, 82, 15, 20, 17, 84, 57, 58, 59, 60, 31]",0.5567495822906494,7.67575216293335
19,19,0.515185261477,"[67, 4, 41, 42, 43, 78, 46, 80, 81, 82, 15, 20, 17, 84, 57, 58, 59, 60, 31]",0.5903048515319824,8.266057014465332
20,20,0.515185261477,"[64, 67, 4, 41, 42, 43, 78, 46, 80, 81, 82, 15, 20, 17, 84, 57, 58, 59, 60, 31]",0.662999153137207,8.929056167602539
21,21,0.515642299869,"[4, 15, 17, 20, 31, 41, 42, 43, 46, 57, 58, 59, 60, 64, 67, 78, 79, 80, 81, 82, 84]",0.7861649990081787,9.715221166610718
22,22,0.515642299869,"[4, 15, 17, 20, 31, 41, 42, 43, 46, 57, 58, 59, 60, 64, 67, 73, 78, 79, 80, 81, 82, 84]",0.6670482158660889,10.382269382476807
23,23,0.515642299869,"[4, 15, 17, 20, 31, 41, 42, 43, 46, 52, 57, 58, 59, 60, 64, 67, 73, 78, 79, 80, 81, 82, 84]",0.6332740783691406,11.015543460845947
24,24,0.515642299869,"[4, 15, 17, 20, 31, 41, 42, 43, 46, 49, 52, 57, 58, 59, 60, 64, 67, 73, 78, 79, 80, 81, 82, 84]",0.7321376800537109,11.747681140899658
25,25,0.515642299869,"[4, 15, 17, 20, 31, 41, 42, 43, 46, 49, 52, 57, 58, 59, 60, 64, 67, 70, 73, 78, 79, 80, 81, 82, 84]",0.7677028179168701,12.515383958816528
26,26,0.515642299869,"[4, 15, 17, 20, 31, 41, 42, 43, 46, 49, 52, 53, 57, 58, 59, 60, 64, 67, 70, 73, 78, 79, 80, 81, 82, 84]",0.6989281177520752,13.214312076568604
27,27,0.515642299869,"[4, 15, 17, 20, 31, 41, 42, 43, 46, 49, 52, 53, 57, 58, 59, 60, 64, 67, 70, 73, 74, 78, 79, 80, 81, 82, 84]",0.8122739791870117,14.026586055755615
28,28,0.516556376651,"[4, 15, 17, 20, 31, 39, 41, 42, 43, 46, 49, 52, 53, 57, 58, 59, 60, 64, 67, 70, 73, 74, 78, 79, 80, 81, 82, 84]",0.8199262619018555,14.84651231765747
29,29,0.517470453434,"[4, 15, 17, 20, 24, 31, 39, 41, 42, 43, 46, 49, 52, 53, 57, 58, 59, 60, 64, 67, 70, 73, 74, 78, 79, 80, 81, 82, 84]",0.8753612041473389,15.72187352180481
30,30,0.517470453434,"[4, 15, 17, 20, 24, 31, 39, 41, 42, 43, 46, 49, 50, 52, 53, 57, 58, 59, 60, 64, 67, 70, 73, 74, 78, 79, 80, 81, 82, 84]",0.9033849239349365,16.625258445739746
31,31,0.510885238304,"[4, 15, 17, 20, 24, 31, 39, 41, 42, 43, 46, 49, 50, 52, 53, 57, 58, 59, 60, 63, 64, 67, 70, 73, 74, 78, 79, 80, 81, 82, 84]",0.9180545806884766,17.543313026428223
32,32,0.511799315086,"[4, 15, 17, 20, 24, 31, 39, 41, 42, 43, 46, 49, 50, 52, 53, 56, 57, 58, 59, 60, 63, 64, 67, 70, 73, 74, 78, 79, 80, 81, 82, 84]",0.9356274604797363,18.47894048690796
33,33,0.511799315086,"[4, 15, 17, 20, 24, 31, 39, 41, 42, 43, 46, 49, 50, 52, 53, 56, 57, 58, 59, 60, 63, 64, 67, 70, 73, 74, 77, 78, 79, 80, 81, 82, 84]",0.9025866985321045,19.381527185440063
34,34,0.511799315086,"[4, 15, 17, 20, 24, 31, 39, 41, 42, 43, 46, 49, 50, 52, 53, 56, 57, 58, 59, 60, 63, 64, 66, 67, 70, 73, 74, 77, 78, 79, 80, 81, 82, 84]",0.9251284599304199,20.306655645370483
35,35,0.516556376651,"[4, 15, 17, 20, 24, 31, 39, 41, 42, 43, 46, 49, 50, 52, 53, 56, 57, 58, 59, 60, 63, 64, 66, 67, 70, 73, 74, 75, 77, 78, 79, 80, 81, 82, 84]",0.9491176605224609,21.255773305892944
36,36,0.510428199912,"[4, 15, 17, 20, 24, 31, 33, 39, 41, 42, 43, 46, 49, 50, 52, 53, 56, 57, 58, 59, 60, 63, 64, 66, 67, 70, 73, 74, 75, 77, 78, 79, 80, 81, 82, 84]",0.9440782070159912,22.199851512908936
