,k,score,selected_features,time,total_time
1,1,0.519298606998,[60],0.2955055236816406,0.2955055236816406
2,2,0.524969745346,"[56, 60]",0.29108285903930664,0.5865883827209473
3,3,0.530183845302,"[56, 60, 78]",0.2836296558380127,0.87021803855896
4,4,0.530183845302,"[56, 46, 60, 78]",0.277801513671875,1.148019552230835
5,5,0.547383937997,"[46, 78, 82, 56, 60]",0.28023600578308105,1.428255558013916
6,6,0.551040245127,"[4, 46, 78, 82, 56, 60]",0.272982120513916,1.701237678527832
7,7,0.551040245127,"[4, 41, 46, 78, 82, 56, 60]",0.265855073928833,1.967092752456665
8,8,0.552868398692,"[4, 41, 46, 78, 82, 56, 57, 60]",0.25827479362487793,2.225367546081543
9,9,0.553325437083,"[4, 41, 46, 78, 82, 56, 57, 60, 31]",0.25585412979125977,2.4812216758728027
10,10,0.552868398692,"[4, 41, 46, 78, 15, 82, 56, 57, 60, 31]",0.2484445571899414,2.729666233062744
11,11,0.551497283518,"[4, 41, 42, 46, 78, 15, 82, 56, 57, 60, 31]",0.2465510368347168,2.976217269897461
12,12,0.55195432191,"[67, 4, 41, 42, 46, 78, 15, 82, 56, 57, 60, 31]",0.25852155685424805,3.234738826751709
13,13,0.552411360301,"[67, 4, 41, 42, 46, 78, 15, 82, 56, 57, 58, 60, 31]",0.2691185474395752,3.503857374191284
14,14,0.558539537039,"[67, 4, 41, 42, 46, 78, 15, 82, 56, 57, 58, 60, 24, 31]",0.2727973461151123,3.7766547203063965
15,15,0.570795890517,"[67, 4, 41, 42, 46, 78, 15, 17, 82, 56, 57, 58, 60, 24, 31]",0.26899242401123047,4.045647144317627
16,16,0.570338852126,"[67, 4, 41, 42, 43, 46, 78, 15, 17, 82, 56, 57, 58, 60, 24, 31]",0.2632279396057129,4.30887508392334
17,17,0.570338852126,"[64, 67, 4, 41, 42, 43, 46, 78, 15, 17, 82, 56, 57, 58, 60, 24, 31]",0.26789307594299316,4.576768159866333
18,18,0.569881813734,"[64, 67, 4, 41, 42, 43, 46, 78, 15, 17, 82, 48, 56, 57, 58, 60, 24, 31]",0.2472825050354004,4.824050664901733
19,19,0.568510698561,"[64, 67, 4, 41, 42, 43, 46, 78, 15, 17, 82, 48, 79, 56, 57, 58, 60, 24, 31]",0.25582027435302734,5.079870939254761
20,20,0.579395936864,"[64, 67, 4, 41, 42, 43, 74, 46, 78, 15, 17, 82, 48, 79, 56, 57, 58, 60, 24, 31]",0.34569764137268066,5.425568580627441
