,k,score,selected_features,time,total_time
1,1,0.5,[4],2.083381414413452,2.083381414413452
2,2,0.5,"[42, 4]",1.5949006080627441,3.6782820224761963
3,3,0.512256353477,"[17, 42, 4]",1.4213354587554932,5.0996174812316895
4,4,0.518841568607,"[17, 42, 4, 61]",1.7221386432647705,6.82175612449646
5,5,0.523141591781,"[4, 42, 17, 61, 29]",1.1185872554779053,7.940343379974365
6,6,0.523141591781,"[4, 42, 17, 82, 61, 29]",2.4956624507904053,10.43600583076477
7,7,0.52268455339,"[4, 42, 17, 82, 61, 29, 30]",1.4930803775787354,11.929086208343506
8,8,0.516556376651,"[3, 4, 42, 17, 82, 61, 29, 30]",1.692192792892456,13.621279001235962
9,9,0.515642299869,"[3, 4, 42, 15, 17, 82, 61, 29, 30]",1.433417558670044,15.054696559906006
10,10,0.51609933826,"[3, 4, 42, 15, 17, 82, 61, 29, 30, 63]",1.3984811305999756,16.45317769050598
11,11,0.51609933826,"[66, 3, 4, 42, 15, 17, 82, 61, 29, 30, 63]",1.8678207397460938,18.320998430252075
12,12,0.520856399825,"[66, 3, 4, 35, 42, 15, 17, 82, 61, 29, 30, 63]",0.7693119049072266,19.0903103351593
13,13,0.518571207869,"[66, 3, 4, 35, 42, 15, 17, 82, 61, 81, 29, 30, 63]",1.3108336925506592,20.40114402770996
14,14,0.518571207869,"[66, 3, 4, 35, 42, 15, 16, 17, 82, 61, 81, 29, 30, 63]",0.7332868576049805,21.13443088531494
15,15,0.523971985478,"[66, 3, 4, 35, 42, 15, 16, 17, 82, 61, 81, 58, 29, 30, 63]",0.9134769439697266,22.047907829284668
16,16,0.535957978217,"[66, 3, 4, 35, 42, 43, 15, 16, 17, 82, 61, 81, 58, 29, 30, 63]",1.1408343315124512,23.18874216079712
17,17,0.558912892345,"[66, 3, 4, 35, 42, 43, 15, 16, 17, 82, 61, 81, 53, 58, 29, 30, 63]",1.302492380142212,24.49123454093933
18,18,0.561198084301,"[66, 3, 4, 35, 72, 42, 43, 15, 16, 17, 82, 61, 81, 53, 58, 29, 30, 63]",1.4406328201293945,25.931867361068726
19,19,0.558455853954,"[66, 3, 4, 35, 72, 42, 43, 45, 15, 16, 17, 82, 61, 81, 53, 58, 29, 30, 63]",1.0324256420135498,26.964293003082275
20,20,0.559556608389,"[66, 3, 4, 35, 67, 72, 42, 43, 45, 15, 16, 17, 82, 61, 81, 53, 58, 29, 30, 63]",1.21486234664917,28.179155349731445
21,21,0.578398176996,"[3, 4, 15, 16, 17, 29, 30, 35, 42, 43, 45, 48, 53, 58, 61, 63, 66, 67, 72, 81, 82]",0.9593660831451416,29.138521432876587
22,22,0.577484100214,"[3, 4, 15, 16, 17, 29, 30, 35, 42, 43, 45, 48, 53, 58, 61, 63, 65, 66, 67, 72, 81, 82]",1.5791699886322021,30.71769142150879
23,23,0.56952776991,"[3, 4, 15, 16, 17, 29, 30, 35, 42, 43, 45, 48, 53, 58, 61, 63, 65, 66, 67, 69, 72, 81, 82]",0.6989073753356934,31.416598796844482
24,24,0.56294255478,"[3, 4, 15, 16, 17, 20, 29, 30, 35, 42, 43, 45, 48, 53, 58, 61, 63, 65, 66, 67, 69, 72, 81, 82]",0.6757204532623291,32.09231925010681
25,25,0.578127816258,"[3, 4, 15, 16, 17, 20, 29, 30, 35, 42, 43, 45, 48, 51, 53, 58, 61, 63, 65, 66, 67, 69, 72, 81, 82]",0.570239782333374,32.662559032440186
26,26,0.578398176996,"[1, 3, 4, 15, 16, 17, 20, 29, 30, 35, 42, 43, 45, 48, 51, 53, 58, 61, 63, 65, 66, 67, 69, 72, 81, 82]",0.746837854385376,33.40939688682556
27,27,0.577027061822,"[1, 3, 4, 15, 16, 17, 20, 29, 30, 35, 42, 43, 45, 48, 51, 53, 58, 61, 63, 64, 65, 66, 67, 69, 72, 81, 82]",0.7641468048095703,34.17354369163513
28,28,0.568427015475,"[1, 3, 4, 15, 16, 17, 20, 29, 30, 35, 42, 43, 45, 46, 48, 51, 53, 58, 61, 63, 64, 65, 66, 67, 69, 72, 81, 82]",0.5974783897399902,34.77102208137512
29,29,0.582054484126,"[1, 3, 4, 15, 16, 17, 20, 29, 30, 34, 35, 42, 43, 45, 46, 48, 51, 53, 58, 61, 63, 64, 65, 66, 67, 69, 72, 81, 82]",0.5629456043243408,35.33396768569946
30,30,0.567699616345,"[1, 3, 4, 15, 16, 17, 20, 27, 29, 30, 34, 35, 42, 43, 45, 46, 48, 51, 53, 58, 61, 63, 64, 65, 66, 67, 69, 72, 81, 82]",0.6081268787384033,35.942094564437866
31,31,0.584069315344,"[1, 3, 4, 15, 16, 17, 20, 27, 29, 30, 34, 35, 42, 43, 45, 46, 48, 51, 53, 58, 61, 63, 64, 65, 66, 67, 69, 72, 77, 81, 82]",0.668421745300293,36.61051630973816
32,32,0.572270000257,"[1, 3, 4, 15, 16, 17, 18, 20, 27, 29, 30, 34, 35, 42, 43, 45, 46, 48, 51, 53, 58, 61, 63, 64, 65, 66, 67, 69, 72, 77, 81, 82]",0.6435730457305908,37.25408935546875
33,33,0.567969977084,"[1, 3, 4, 14, 15, 16, 17, 18, 20, 27, 29, 30, 34, 35, 42, 43, 45, 46, 48, 51, 53, 58, 61, 63, 64, 65, 66, 67, 69, 72, 77, 81, 82]",0.6602487564086914,37.91433811187744
34,34,0.553885470041,"[1, 3, 4, 14, 15, 16, 17, 18, 20, 27, 29, 30, 34, 35, 42, 43, 45, 46, 48, 51, 53, 58, 61, 63, 64, 65, 66, 67, 69, 72, 74, 77, 81, 82]",1.0917158126831055,39.00605392456055
