,k,score,selected_features,time,total_time
1,1,0.50658521513,[60],0.2688291072845459,0.2688291072845459
2,2,0.51317043026,"[60, 39]",0.27614927291870117,0.5449783802032471
3,3,0.520212683781,"[60, 4, 39]",0.31511878967285156,0.8600971698760986
4,4,0.527254937302,"[63, 60, 4, 39]",0.40279436111450195,1.2628915309906006
5,5,0.533840152432,"[4, 39, 50, 60, 63]",0.41658902168273926,1.6794805526733398
6,6,0.540425367562,"[4, 39, 75, 50, 60, 63]",0.44374990463256836,2.123230457305908
7,7,0.540882405953,"[4, 39, 75, 50, 19, 60, 63]",0.47771644592285156,2.6009469032287598
8,8,0.54244019878,"[4, 36, 39, 75, 50, 19, 60, 63]",0.5541305541992188,3.1550774574279785
9,9,0.545182429127,"[4, 36, 39, 75, 44, 50, 19, 60, 63]",0.679187536239624,3.8342649936676025
10,10,0.545639467518,"[4, 36, 39, 75, 44, 50, 19, 59, 60, 63]",0.713813066482544,4.5480780601501465
11,11,0.546096505909,"[4, 36, 39, 73, 75, 44, 50, 19, 59, 60, 63]",0.7079803943634033,5.25605845451355
12,12,0.545639467518,"[4, 36, 39, 73, 75, 44, 80, 50, 19, 59, 60, 63]",0.7113611698150635,5.967419624328613
13,13,0.546096505909,"[4, 36, 39, 73, 75, 44, 80, 50, 19, 52, 59, 60, 63]",0.7338159084320068,6.70123553276062
14,14,0.545639467518,"[4, 36, 39, 73, 75, 44, 80, 50, 19, 52, 51, 59, 60, 63]",0.7597615718841553,7.460997104644775
15,15,0.545182429127,"[4, 36, 39, 73, 75, 44, 47, 80, 50, 19, 52, 51, 59, 60, 63]",0.7693369388580322,8.230334043502808
16,16,0.545639467518,"[65, 4, 36, 39, 73, 75, 44, 47, 80, 50, 19, 52, 51, 59, 60, 63]",0.7965974807739258,9.026931524276733
17,17,0.545639467518,"[65, 4, 36, 70, 39, 73, 75, 44, 47, 80, 50, 19, 52, 51, 59, 60, 63]",0.8292548656463623,9.856186389923096
18,18,0.545639467518,"[65, 4, 36, 70, 39, 73, 75, 44, 47, 80, 50, 19, 52, 51, 82, 59, 60, 63]",0.9766745567321777,10.832860946655273
19,19,0.550853567474,"[65, 4, 36, 70, 39, 73, 75, 44, 11, 47, 80, 50, 19, 52, 51, 82, 59, 60, 63]",1.0184626579284668,11.85132360458374
20,20,0.550853567474,"[65, 4, 36, 70, 39, 73, 75, 44, 11, 47, 80, 50, 19, 52, 51, 82, 55, 59, 60, 63]",1.1260106563568115,12.977334260940552
21,21,0.553512114736,"[4, 11, 19, 36, 39, 44, 47, 50, 51, 52, 55, 58, 59, 60, 63, 65, 70, 73, 75, 80, 82]",1.1410951614379883,14.11842942237854
