,k,score,selected_features,time,total_time
1,1,0.519298606998,[81],3.3292360305786133,3.3292360305786133
2,2,0.521126760563,"[81, 26]",3.761789560317993,7.0910255908966064
3,3,0.521126760563,"[81, 26, 1]",1.6924448013305664,8.783470392227173
4,4,0.528169014085,"[81, 26, 75, 1]",2.866244316101074,11.649714708328247
5,5,0.534297190823,"[1, 3, 75, 81, 26]",3.3131654262542725,14.96288013458252
6,6,0.53805649252,"[1, 3, 75, 43, 81, 26]",3.520176410675049,18.48305654525757
7,7,0.540341684476,"[1, 3, 69, 75, 43, 81, 26]",4.064074993133545,22.547131538391113
8,8,0.541255761259,"[1, 3, 69, 75, 43, 81, 84, 26]",4.3976967334747314,26.944828271865845
9,9,0.54171279965,"[1, 3, 69, 75, 43, 81, 50, 84, 26]",4.963025808334351,31.907854080200195
10,10,0.542169838041,"[1, 3, 69, 75, 43, 81, 50, 84, 57, 26]",5.157476425170898,37.065330505371094
11,11,0.542626876432,"[1, 3, 69, 75, 43, 79, 81, 50, 84, 57, 26]",5.397886753082275,42.46321725845337
12,12,0.542626876432,"[1, 3, 69, 75, 43, 44, 79, 81, 50, 84, 57, 26]",5.670067548751831,48.1332848072052
13,13,0.542626876432,"[1, 3, 69, 75, 43, 44, 79, 81, 50, 84, 52, 57, 26]",6.038034915924072,54.17131972312927
14,14,0.542626876432,"[1, 3, 69, 75, 43, 44, 79, 81, 50, 84, 52, 54, 57, 26]",6.802241325378418,60.97356104850769
15,15,0.542626876432,"[1, 3, 69, 75, 43, 44, 79, 81, 50, 84, 52, 54, 56, 57, 26]",7.0462806224823,68.01984167098999
16,16,0.542626876432,"[1, 3, 69, 75, 43, 44, 79, 81, 50, 84, 52, 54, 56, 57, 26, 59]",7.1696836948394775,75.18952536582947
17,17,0.542626876432,"[1, 3, 69, 75, 43, 44, 79, 81, 50, 84, 52, 54, 56, 57, 26, 59, 62]",7.37176251411438,82.56128787994385
18,18,0.542626876432,"[64, 1, 3, 69, 75, 43, 44, 79, 81, 50, 84, 52, 54, 56, 57, 26, 59, 62]",7.2483673095703125,89.80965518951416
19,19,0.542626876432,"[64, 1, 65, 3, 69, 75, 43, 44, 79, 81, 50, 84, 52, 54, 56, 57, 26, 59, 62]",7.565197467803955,97.37485265731812
20,20,0.542626876432,"[64, 1, 65, 3, 68, 69, 75, 43, 44, 79, 81, 50, 84, 52, 54, 56, 57, 26, 59, 62]",8.003989696502686,105.3788423538208
21,21,0.542626876432,"[1, 3, 26, 43, 44, 50, 52, 54, 56, 57, 59, 62, 64, 65, 68, 69, 70, 75, 79, 81, 84]",7.847017526626587,113.22585988044739
22,22,0.542626876432,"[1, 3, 26, 43, 44, 50, 52, 54, 56, 57, 59, 62, 64, 65, 68, 69, 70, 71, 75, 79, 81, 84]",7.864509105682373,121.09036898612976
23,23,0.542626876432,"[1, 3, 26, 43, 44, 50, 52, 54, 56, 57, 59, 62, 64, 65, 68, 69, 70, 71, 73, 75, 79, 81, 84]",8.13990569114685,129.2302746772766
24,24,0.542626876432,"[1, 3, 26, 43, 44, 50, 52, 54, 56, 57, 59, 62, 64, 65, 68, 69, 70, 71, 73, 75, 76, 79, 81, 84]",8.737200498580933,137.96747517585754
25,25,0.542626876432,"[1, 3, 26, 43, 44, 50, 52, 54, 56, 57, 59, 62, 64, 65, 68, 69, 70, 71, 73, 75, 76, 77, 79, 81, 84]",8.137393474578857,146.1048686504364
26,26,0.542626876432,"[1, 3, 26, 43, 44, 50, 52, 54, 56, 57, 59, 62, 64, 65, 68, 69, 70, 71, 73, 75, 76, 77, 78, 79, 81, 84]",8.260592222213745,154.36546087265015
27,27,0.542626876432,"[1, 3, 26, 43, 44, 50, 52, 54, 56, 57, 59, 62, 64, 65, 68, 69, 70, 71, 73, 75, 76, 77, 78, 79, 80, 81, 84]",8.39098858833313,162.75644946098328
28,28,0.542626876432,"[1, 3, 26, 43, 44, 50, 52, 54, 56, 57, 59, 62, 64, 65, 68, 69, 70, 71, 73, 75, 76, 77, 78, 79, 80, 81, 83, 84]",9.122899293899536,171.8793487548828
