,k,score,selected_features,time,total_time
1,1,0.519298606998,[60],0.2378847599029541,0.2378847599029541
2,2,0.536498699694,"[60, 61]",0.2476029396057129,0.485487699508667
3,3,0.54829801478,"[83, 60, 61]",0.2557344436645508,0.7412221431732178
4,4,0.55781213791,"[83, 60, 61, 63]",0.2581307888031006,0.9993529319763184
5,5,0.564584030692,"[75, 83, 60, 61, 63]",0.264847993850708,1.2642009258270264
6,6,0.569798130649,"[75, 83, 57, 60, 61, 63]",0.26505589485168457,1.529256820678711
7,7,0.570712207431,"[1, 75, 83, 57, 60, 61, 63]",0.27077674865722656,1.8000335693359375
8,8,0.571626284214,"[1, 75, 28, 83, 57, 60, 61, 63]",0.27201151847839355,2.072045087814331
9,9,0.572540360996,"[1, 75, 28, 31, 83, 57, 60, 61, 63]",0.277050256729126,2.349095344543457
10,10,0.577297422561,"[1, 75, 28, 31, 83, 54, 57, 60, 61, 63]",0.2757902145385742,2.6248855590820312
11,11,0.578668537735,"[1, 33, 75, 28, 31, 83, 54, 57, 60, 61, 63]",0.279799222946167,2.9046847820281982
12,12,0.579125576126,"[1, 33, 9, 75, 28, 31, 83, 54, 57, 60, 61, 63]",0.27733469009399414,3.1820194721221924
13,13,0.579125576126,"[1, 33, 9, 75, 28, 31, 13, 83, 54, 57, 60, 61, 63]",0.28157830238342285,3.4635977745056152
14,14,0.579582614517,"[1, 33, 9, 75, 28, 31, 13, 16, 83, 54, 57, 60, 61, 63]",0.3248748779296875,3.7884726524353027
15,15,0.580039652908,"[1, 33, 9, 75, 28, 31, 13, 16, 47, 83, 54, 57, 60, 61, 63]",0.34891510009765625,4.137387752532959
16,16,0.5804966913,"[1, 33, 9, 75, 28, 31, 13, 16, 47, 48, 83, 54, 57, 60, 61, 63]",0.345261812210083,4.482649564743042
17,17,0.5804966913,"[1, 33, 5, 9, 75, 28, 31, 13, 16, 47, 48, 83, 54, 57, 60, 61, 63]",0.3491201400756836,4.831769704818726
18,18,0.5804966913,"[1, 33, 3, 5, 9, 75, 28, 31, 13, 16, 47, 48, 83, 54, 57, 60, 61, 63]",0.34819865226745605,5.179968357086182
19,19,0.5804966913,"[1, 33, 3, 5, 8, 9, 75, 28, 31, 13, 16, 47, 48, 83, 54, 57, 60, 61, 63]",0.35189390182495117,5.531862258911133
20,20,0.5804966913,"[1, 33, 3, 5, 8, 9, 75, 28, 31, 13, 16, 47, 48, 83, 14, 54, 57, 60, 61, 63]",0.3494541645050049,5.881316423416138
21,21,0.5804966913,"[1, 3, 5, 8, 9, 13, 14, 16, 28, 31, 32, 33, 47, 48, 54, 57, 60, 61, 63, 75, 83]",0.35402345657348633,6.235339879989624
22,22,0.5804966913,"[1, 3, 5, 8, 9, 13, 14, 16, 26, 28, 31, 32, 33, 47, 48, 54, 57, 60, 61, 63, 75, 83]",0.34987664222717285,6.585216522216797
23,23,0.5804966913,"[1, 3, 5, 8, 9, 13, 14, 16, 26, 28, 31, 32, 33, 37, 47, 48, 54, 57, 60, 61, 63, 75, 83]",0.35416078567504883,6.939377307891846
24,24,0.580039652908,"[1, 3, 5, 8, 9, 13, 14, 16, 26, 28, 31, 32, 33, 37, 47, 48, 51, 54, 57, 60, 61, 63, 75, 83]",0.29607462882995605,7.235451936721802
25,25,0.579582614517,"[1, 3, 5, 7, 8, 9, 13, 14, 16, 26, 28, 31, 32, 33, 37, 47, 48, 51, 54, 57, 60, 61, 63, 75, 83]",0.29469895362854004,7.530150890350342
26,26,0.579125576126,"[1, 3, 5, 7, 8, 9, 13, 14, 16, 26, 28, 31, 32, 33, 37, 44, 47, 48, 51, 54, 57, 60, 61, 63, 75, 83]",0.29288244247436523,7.823033332824707
27,27,0.579125576126,"[1, 3, 5, 7, 8, 9, 13, 14, 16, 23, 26, 28, 31, 32, 33, 37, 44, 47, 48, 51, 54, 57, 60, 61, 63, 75, 83]",0.2949056625366211,8.117938995361328
28,28,0.579582614517,"[1, 3, 5, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 37, 44, 47, 48, 51, 54, 57, 60, 61, 63, 75, 83]",0.29133033752441406,8.409269332885742
29,29,0.580039652908,"[1, 3, 5, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 44, 47, 48, 51, 54, 57, 60, 61, 63, 75, 83]",0.2951629161834717,8.704432249069214
30,30,0.579582614517,"[1, 3, 5, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 44, 47, 48, 51, 54, 57, 58, 60, 61, 63, 75, 83]",0.2929348945617676,8.997367143630981
31,31,0.5804966913,"[1, 3, 5, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 38, 44, 47, 48, 51, 54, 57, 58, 60, 61, 63, 75, 83]",0.29359936714172363,9.290966510772705
32,32,0.5804966913,"[1, 2, 3, 5, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 38, 44, 47, 48, 51, 54, 57, 58, 60, 61, 63, 75, 83]",0.29163527488708496,9.58260178565979
33,33,0.592759481937,"[1, 2, 3, 5, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 38, 44, 47, 48, 51, 54, 57, 58, 60, 61, 63, 73, 75, 83]",0.29618048667907715,9.878782272338867
34,34,0.621823261323,"[1, 2, 3, 5, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 38, 44, 46, 47, 48, 51, 54, 57, 58, 60, 61, 63, 73, 75, 83]",0.2897608280181885,10.168543100357056
35,35,0.630777351495,"[1, 2, 3, 5, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 38, 44, 46, 47, 48, 51, 54, 57, 58, 60, 61, 63, 73, 75, 78, 83]",0.30451059341430664,10.473053693771362
36,36,0.635077374668,"[1, 2, 3, 5, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 38, 44, 46, 47, 48, 51, 53, 54, 57, 58, 60, 61, 63, 73, 75, 78, 83]",0.3423123359680176,10.81536602973938
37,37,0.656976594485,"[0, 1, 2, 3, 5, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 38, 44, 46, 47, 48, 51, 53, 54, 57, 58, 60, 61, 63, 73, 75, 78, 83]",0.3436160087585449,11.158982038497925
38,38,0.678830754178,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 38, 44, 46, 47, 48, 51, 53, 54, 57, 58, 60, 61, 63, 73, 75, 78, 83]",0.34311461448669434,11.50209665298462
39,39,0.686787084481,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 38, 44, 46, 47, 48, 51, 53, 54, 57, 58, 60, 61, 63, 73, 75, 78, 83]",0.3373985290527344,11.839495182037354
40,40,0.689072276437,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 16, 23, 26, 28, 31, 32, 33, 34, 37, 38, 41, 44, 46, 47, 48, 51, 53, 54, 57, 58, 60, 61, 63, 73, 75, 78, 83]",0.33709144592285156,12.176586627960205
41,41,0.689529314829,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 16, 19, 23, 26, 28, 31, 32, 33, 34, 37, 38, 41, 44, 46, 47, 48, 51, 53, 54, 57, 58, 60, 61, 63, 73, 75, 78, 83]",0.33139753341674805,12.507984161376953
42,42,0.690900430002,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 16, 19, 23, 26, 28, 31, 32, 33, 34, 37, 38, 41, 44, 46, 47, 48, 51, 53, 54, 57, 58, 60, 61, 63, 69, 73, 75, 78, 83]",0.3262648582458496,12.834249019622803
